,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
0,7f96b2f878858a,4d4b580de459be,a10357fd1a4a91,0,0,0.0,0,0,0,60,1241,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,244.8,1,1466,0.4444
14605,09824fabf2cdc0,7e5fb71e05a678,a10357fd1a4a91,1,1,335.4,3,1,1,29,1171,1,1,63.66,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,1,0,2136.0,7,1487,0.8148
56361,72dfd1f3796a0e,80d9f9014c6e68,a10357fd1a4a91,0,0,0.0,0,0,0,82,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,28.34,0,1500,0.0741
94575,17cf1ec59eb8c3,74898d59ac4879,a10357fd1a4a91,0,0,95.9,0,0,3,28,1453,1,1,12.99,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,3490.0,6,1495,0.8519
124418,6472d358a8b956,5112ebf44e9575,a10357fd1a4a91,0,2,22.01,1,1,0,24,1030,1,1,72.89,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,2570.0,5,1474,0.963
159192,fe0e649b75091a,69c3ba1a23df2a,a10357fd1a4a91,0,2,200.0,2,0,1,26,1541,1,1,25.32,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,3414.0,5,1523,0.9259
197163,76f1c4b5da99b6,3fe42857a5d0e3,a10357fd1a4a91,2,5,209.7,1,0,2,40,1173,0,0,0.0,1306,squad-fpp,28,26,-1,0,48.33,0,0.0,0,0,4218.0,6,1549,1.0
313520,2727240d028c7f,a27667dbecd7d7,a10357fd1a4a91,0,0,35.62,0,0,0,77,1266,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,144.8,2,1504,0.1481
429228,2a4d71694d9d5c,5ddf679672a972,a10357fd1a4a91,1,1,64.39,0,0,1,64,1283,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,145.5,3,1510,0.4074
527772,c40f71d9ba7ebf,edbce070d4ee9d,a10357fd1a4a91,0,0,0.0,0,0,0,69,1312,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,91.39,2,1473,0.2963
568865,cb27a558c41e16,c92eb4405f4d3a,a10357fd1a4a91,2,0,172.0,2,0,0,39,1000,1,1,39.2,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,289.0,1,1500,0.2222
570940,b86bec82622dcd,e3b971e00acee4,a10357fd1a4a91,0,0,50.98,0,1,0,36,1557,1,1,40.94,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,258.8,1,1559,0.3704
581545,97e22ce8ee3675,e93dfe8291d05c,a10357fd1a4a91,0,2,0.0,0,0,0,51,1175,0,0,0.0,1306,squad-fpp,28,26,-1,0,372.0,0,0.7378,0,0,2845.0,6,1515,0.7778
675029,34673dfdd74aae,654c638629b8fc,a10357fd1a4a91,0,2,292.8,2,0,1,10,1381,3,1,23.11,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,359.9,3,1464,0.4815
687216,fdac9d3f6f7216,5ddf679672a972,a10357fd1a4a91,0,1,221.9,2,0,2,11,1455,3,2,38.47,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,217.1,3,1515,0.4074
721757,8489b84dff1142,a269f08371068b,a10357fd1a4a91,0,0,24.48,0,0,0,92,1690,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,38.8,1,1512,0.037
764516,0b27d7a6f0f471,69c3ba1a23df2a,a10357fd1a4a91,0,1,41.86,0,0,3,44,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,528.7,0,0.0,0,0,3746.0,5,1500,0.9259
863204,266c7831d8068a,0b4bf93ca082a4,a10357fd1a4a91,3,0,332.6,1,0,1,34,1000,1,1,22.26,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,412.1,4,1500,0.5185
903525,7516514fbd1091,4d4b580de459be,a10357fd1a4a91,0,0,0.0,0,0,0,62,1232,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,48.28,1,1465,0.4444
993240,209d3fc6b40837,c92eb4405f4d3a,a10357fd1a4a91,0,0,75.46,0,0,0,72,1448,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,70.66,4,1501,0.2222
1029929,2410d3756d95bc,a269f08371068b,a10357fd1a4a91,0,0,0.0,0,0,0,91,1364,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,20.32,1,1470,0.037
1041609,48393ade6eae82,168d1fc8ebe03c,a10357fd1a4a91,1,1,134.3,1,0,0,52,1230,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,1784.0,7,1478,0.7407
1182186,0fb91bde1fd2f9,2af5c87d86546d,a10357fd1a4a91,0,1,349.4,3,0,1,9,1475,3,1,47.27,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,635.0,2,1519,0.5556
1207488,299b65fad6403c,d7d1cd054b0f5b,a10357fd1a4a91,1,0,37.73,0,0,0,96,1185,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,10.64,1,1505,0.0
1211037,e2b2c8150c9ccb,e3b971e00acee4,a10357fd1a4a91,0,0,0.0,0,0,0,66,1012,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,48.86,1,1507,0.3704
1225370,8e9281193fba41,80d9f9014c6e68,a10357fd1a4a91,0,0,0.0,0,0,0,83,1128,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,38.09,1,1448,0.0741
1241940,329f5802b52857,7e5fb71e05a678,a10357fd1a4a91,0,0,90.55,0,1,0,30,1008,1,1,31.09,1306,squad-fpp,28,26,-1,0,292.4,0,0.0,0,0,1729.0,3,1483,0.8148
1295086,e86cb981094366,e3b971e00acee4,a10357fd1a4a91,0,0,200.0,2,0,0,65,1521,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,98.89,4,1560,0.3704
1310708,a810fb9ada5dd9,7e5fb71e05a678,a10357fd1a4a91,0,3,0.0,0,0,1,48,1014,0,0,0.0,1306,squad-fpp,28,26,-1,0,186.1,0,0.0,0,0,1392.0,8,1491,0.8148
1386393,f9868b1c4897fa,3fe42857a5d0e3,a10357fd1a4a91,2,1,310.7,2,3,3,7,1527,3,1,85.87,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,4302.0,5,1589,1.0
1424406,db96a74b70bc82,2af5c87d86546d,a10357fd1a4a91,0,0,100.0,1,0,0,33,1148,1,1,31.6,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,277.5,3,1537,0.5556
1424606,91eddfce17bbfe,74898d59ac4879,a10357fd1a4a91,0,2,209.3,2,0,1,14,1241,2,1,70.25,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,3175.0,5,1414,0.8519
1429335,e5662c71e19af5,5112ebf44e9575,a10357fd1a4a91,0,1,21.76,0,0,0,42,1063,0,0,0.0,1306,squad-fpp,28,26,-1,2,0.0,0,0.0,0,0,2492.0,8,1495,0.963
1535325,217ac7ec6013e5,1d31d15e045c4d,a10357fd1a4a91,0,0,28.38,0,0,0,71,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,196.3,3,1500,0.2593
1584671,930ec01f238e6d,0b4bf93ca082a4,a10357fd1a4a91,0,0,268.8,3,1,0,5,1267,4,2,39.07,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,1,0,474.8,5,1509,0.5185
1698681,cc2bdb64c03e47,654c638629b8fc,a10357fd1a4a91,0,0,71.72,2,0,0,18,1427,2,2,5.651,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,174.0,2,1581,0.4815
1756742,a09f25965df4a7,432b8256f23c7e,a10357fd1a4a91,0,0,31.25,0,0,0,78,1217,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,110.0,1,1464,0.1111
1773725,002b85352bac23,e93dfe8291d05c,a10357fd1a4a91,0,2,25.8,0,0,1,49,1327,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,3176.0,4,1569,0.7778
1778601,64d4c0c4628a56,e93dfe8291d05c,a10357fd1a4a91,0,1,100.0,1,0,0,50,1267,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,3078.0,7,1552,0.7778
1803554,74dfd157c95773,80d9f9014c6e68,a10357fd1a4a91,0,0,0.0,0,0,0,85,1259,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,92.09,2,1486,0.0741
1829151,a9c7e454f1ac4f,432b8256f23c7e,a10357fd1a4a91,0,0,0.0,0,0,0,79,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,46.72,1,1500,0.1111
1857854,71f354d1970316,a27667dbecd7d7,a10357fd1a4a91,0,1,195.6,1,0,2,76,1221,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,102.9,3,1404,0.1481
1879878,096c12904489e0,30e393959e45ac,a10357fd1a4a91,0,2,183.5,1,1,0,13,1642,2,1,31.7,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,2944.0,4,1496,0.8889
1904903,b8717cb93975aa,92a09f0a596787,a10357fd1a4a91,0,0,300.0,3,0,0,20,1594,2,1,15.89,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,267.9,2,1545,0.3333
1912681,c56d45be16aa86,4d4b580de459be,a10357fd1a4a91,0,0,318.0,2,1,0,6,1185,4,1,27.66,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,342.8,2,1476,0.4444
1921473,54971d205b5da4,5ddf679672a972,a10357fd1a4a91,1,0,85.14,0,0,0,63,1262,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,289.7,4,1509,0.4074
2040271,44b6afe3d049f6,5ddf679672a972,a10357fd1a4a91,0,0,200.0,2,0,5,35,1192,1,1,16.06,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,92.63,2,1496,0.4074
2158619,673a28281fa5cb,92a09f0a596787,a10357fd1a4a91,1,2,0.0,0,0,0,67,1361,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,385.7,3,1488,0.3333
2162806,3b4c851d88e6fe,3fe42857a5d0e3,a10357fd1a4a91,2,4,434.2,2,2,1,2,1737,5,2,108.8,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,4460.0,5,1585,1.0
2252280,50ce29450653c8,80d9f9014c6e68,a10357fd1a4a91,0,0,0.0,0,0,0,88,1253,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,99.91,1,1378,0.0741
2260880,89617c54350edd,edbce070d4ee9d,a10357fd1a4a91,0,0,0.0,0,0,0,70,1367,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,210.6,4,1501,0.2963
2315578,39d06340eceb4b,654c638629b8fc,a10357fd1a4a91,0,0,54.18,0,0,1,55,1623,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,279.6,2,1578,0.4815
2383840,100eef17c4d773,4d4b580de459be,a10357fd1a4a91,0,0,90.75,0,0,0,61,1344,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,96.08,1,1498,0.4444
2384171,3c522b145e176b,654c638629b8fc,a10357fd1a4a91,0,0,0.0,0,0,0,57,1448,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,230.7,3,1593,0.4815
2390206,d38390643dac14,80d9f9014c6e68,a10357fd1a4a91,0,0,0.0,0,0,0,84,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,124.7,1,1500,0.0741
2418059,bcf53d4c742f26,e3b971e00acee4,a10357fd1a4a91,1,1,335.7,3,1,5,19,1624,2,1,13.65,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,210.2,3,1588,0.3704
2471436,53112755efac7f,2f8336736f3be2,a10357fd1a4a91,0,0,300.0,3,1,3,12,1493,3,1,26.06,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,110.6,1,1462,0.1852
2493836,00a114a2225f54,2f8336736f3be2,a10357fd1a4a91,0,0,21.29,0,0,0,75,1042,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,114.6,1,1485,0.1852
2553717,871a7fb18bc408,92a09f0a596787,a10357fd1a4a91,0,0,254.9,1,0,0,21,1525,2,1,17.1,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,316.9,3,1537,0.3333
2686134,47deba52001225,a269f08371068b,a10357fd1a4a91,0,0,19.8,0,0,0,90,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,32.5,0,1500,0.037
2768335,e97da9bde65e82,64903e9ba2e503,a10357fd1a4a91,1,2,286.0,2,0,1,31,1709,1,1,11.99,1306,squad-fpp,28,26,-1,1,0.0,0,0.0,0,0,1241.0,6,1579,0.6296
2780530,171cf7a2b45cf6,a269f08371068b,a10357fd1a4a91,0,0,0.0,0,0,0,93,1238,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,23.82,1,1470,0.037
2782577,01ea149e7e581c,64903e9ba2e503,a10357fd1a4a91,1,1,283.7,1,0,1,16,1825,2,2,9.21,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,1310.0,4,1581,0.6296
2796231,f518fe0d6dc2bb,edbce070d4ee9d,a10357fd1a4a91,1,0,149.0,1,1,0,38,1121,1,1,7.857,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,208.1,1,1480,0.2963
2898529,551d00fb2a5985,d7d1cd054b0f5b,a10357fd1a4a91,0,0,0.0,0,0,0,95,423,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,0.0,0,784,0.0
2972522,a3f1749d5da506,69c3ba1a23df2a,a10357fd1a4a91,0,1,0.0,0,0,1,45,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,1324.0,7,1500,0.9259
3012307,da760deaa9625e,432b8256f23c7e,a10357fd1a4a91,0,0,219.4,2,0,0,23,1449,2,2,11.03,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,160.7,1,1484,0.1111
3025834,f3154d20a31346,c92eb4405f4d3a,a10357fd1a4a91,0,0,0.0,0,0,0,73,1028,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,30.86,2,1503,0.2222
3029858,7b58b807dfa64f,80d9f9014c6e68,a10357fd1a4a91,0,0,171.4,2,0,0,86,1000,0,0,0.0,1306,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,116.8,1,1500,0.0741
